actA	50	100.00%
bsh	50	100.00%
clpC	50	100.00%
clpE	50	100.00%
clpP	50	100.00%
hly	50	100.00%
lap	50	100.00%
lapB	50	100.00%
lntA	50	100.00%
lpeA	50	100.00%
lplA1	50	100.00%
lspA	50	100.00%
mpl	50	100.00%
oatA	50	100.00%
pdgA	50	100.00%
plcA	50	100.00%
plcB	50	100.00%
prsA2	50	100.00%
vip	50	100.00%
fbpA	49	98.00%
hpt	49	98.00%
iap/cwhA	49	98.00%
prfA	49	98.00%
inlA	48	96.00%
inlC	48	96.00%
inlK	48	96.00%
inlB	44	88.00%
gtcA	42	84.00%
llsA	41	82.00%
llsG	35	70.00%
llsX	30	60.00%
llsH	28	56.00%
inlF	27	54.00%
llsY	22	44.00%
llsB	18	36.00%
llsD	16	32.00%
llsP	11	22.00%
acpXL	1	2.00%
cgs	1	2.00%
fabZ	1	2.00%
htrB	1	2.00%
kdsA	1	2.00%
kdsB	1	2.00%
pgm	1	2.00%
