Ensembl Gene ID,Up/Down Regulated,Adjusted Pv-alue,Symbol,Description
AT4G20830,Up,1.95E-220, AT4G20830,FAD-binding Berberine family protein 
AT2G38470,Up,8.69E-192, WRKY33,WRKY DNA-binding protein 33 
AT4G20835,Up,2.10E-191, AT4G20835,Uncharacterized protein 
AT3G26830,Up,1.65E-186, PAD3,Cytochrome P450 superfamily protein 
AT1G05680,Up,2.72E-163, UGT74E2,Uridine diphosphate glycosyltransferase 74E2 
AT2G41105,Up,4.28E-157, AT2G41105,Uncharacterized protein 
AT2G18193,Up,1.03E-155, AT2G18193,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT4G02380,Up,9.05E-147, SAG21,Senescence-associated 21 
AT1G19180,Up,4.17E-144, JAZ1,Jasmonate-zim-domain protein 1 
AT2G47000,Up,1.82E-143, ABCB4,ATP binding cassette subfamily B4 
AT2G41100,Up,4.47E-133, TCH3,Calcium-binding EF hand family protein 
AT1G72520,Up,1.77E-129, LOX4,PLAT/LH2 domain-containing lipoxygenase family protein 
AT1G02930,Up,3.24E-124, GSTF6,Glutathione S-transferase 6 
AT3G63380,Up,7.58E-121, AT3G63380,ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein 
AT1G80840,Up,3.91E-119, WRKY40,WRKY DNA-binding protein 40 
AT3G22370,Up,2.44E-116, AOX1A,Alternative oxidase 1A 
AT4G37370,Up,4.15E-115, CYP81D8,"Cytochrome P450, family 81, subfamily D, polypeptide 8 "
AT4G02520,Up,1.24E-112, GSTF2,Glutathione S-transferase PHI 2 
AT3G28580,Up,2.55E-109, AT3G28580,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT5G13210,Up,9.55E-104, AT5G13210,"Uncharacterized conserved protein UCP015417, vWA "
AT1G17750,Up,1.05E-100, PEPR2,PEP1 receptor 2 
AT4G15760,Up,4.02E-98, MO1,Monooxygenase 1 
AT4G16680,Up,1.55E-96, AT4G16680,P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT1G19020,Up,7.13E-94, AT1G19020,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase 
AT4G17500,Up,1.76E-92, ERF-1,Ethylene responsive element binding factor 1 
AT4G33050,Up,1.91E-92, EDA39,Calmodulin-binding family protein 
AT5G43450,Up,1.16E-91, AT5G43450,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein 
AT1G01480,Up,2.57E-91, ACS2,1-amino-cyclopropane-1-carboxylate synthase 2 
AT5G26340,Up,1.34E-90, MSS1,Major facilitator superfamily protein 
AT1G05675,Up,2.75E-90, AT1G05675,UDP-Glycosyltransferase superfamily protein 
AT4G11280,Up,7.38E-90, ACS6,1-aminocyclopropane-1-carboxylic acid (acc) synthase 6 
AT3G50930,Up,8.06E-89, BCS1,Cytochrome BC1 synthesi 
AT3G13080,Up,1.17E-85, ABCC3,Multidrug resistance-associated protein 3 
AT2G40140,Up,6.40E-81, CZF1,Zinc finger (CCCH-type) family protein 
AT5G08790,Up,1.09E-80, ATAF2,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein 
AT5G25250,Up,1.74E-79, FLOT1,SPFH/Band 7/PHB domain-containing membrane-associated protein family 
AT4G36500,Up,3.42E-79, AT4G36500,Uncharacterized protein 
AT4G01870,Up,2.08E-78, AT4G01870,TolB protein-like protein 
AT3G55980,Up,4.31E-78, SZF1,Salt-inducible zinc finger 1 
AT3G23250,Up,5.84E-78, MYB15,Myb domain protein 15 
AT4G12720,Up,5.36E-77, NUDT7,MutT/nudix family protein 
AT1G27730,Up,9.60E-77, STZ,Salt tolerance zinc finger 
AT2G03760,Up,2.78E-76, SOT12,Sulfotransferase 12 
AT1G59870,Up,3.19E-76, PEN3,ABC-2 and Plant PDR ABC-type transporter family protein 
AT2G34430,Up,1.20E-74, LHB1B1,Light-harvesting chlorophyll-protein complex II subunit B1 
AT2G04040,Up,7.33E-73, DTX1,MATE efflux family protein 
AT1G10170,Up,3.93E-71, NFXL1,NF-X-like 1 
AT3G25250,Up,1.07E-70, AGC2-1,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein "
AT1G51760,Up,1.39E-70, IAR3,Peptidase M20/M25/M40 family protein 
AT4G38540,Up,1.79E-70, AT4G38540,FAD/NAD(P)-binding oxidoreductase family protein 
AT2G29460,Up,4.02E-70, GSTU4,Glutathione S-transferase tau 4 
AT1G73080,Up,7.77E-70, PEPR1,PEP1 receptor 1 
AT3G56400,Up,1.92E-69, WRKY70,WRKY DNA-binding protein 70 
AT2G32240,Up,1.59E-68, AT2G32240,Early endosome antigen 
AT2G41110,Up,1.74E-68, CAM2,Calmodulin 2 
AT3G55970,Up,8.56E-68, JRG21,Jasmonate-regulated 21 
