,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G01010,28,18,64,71,42,48
AT1G01020,117,195,46,12,54,48
AT1G01030,29,58,8,0,34,9
AT1G01040,995,848,430,1458,182,322
AT1G01050,291,490,133,156,34,132
AT1G01060,19,30,0,0,1,2
AT1G01070,0,5,0,0,0,0
AT1G01080,304,508,199,526,110,122
AT1G01090,1122,1428,601,1722,531,771
AT1G01100,1848,2301,927,3554,405,846
AT1G01110,11,85,49,2,28,9
AT1G01120,26,26,53,84,7,3
AT1G01130,0,18,3,1,0,3
AT1G01140,970,881,421,374,68,272
AT1G01150,0,0,0,0,0,5
AT1G01160,309,341,145,206,70,154
AT1G01170,373,565,229,480,230,137
AT1G01180,41,20,0,0,5,14
AT1G01190,34,17,0,117,34,27
AT1G01200,2,12,51,0,0,0
AT1G01210,73,72,36,282,146,64
AT1G01220,136,410,181,815,126,50
AT1G01225,47,54,3,0,0,0
AT1G01230,114,177,20,67,145,177
AT1G01240,148,161,111,32,117,106
AT1G01250,0,16,0,0,0,0
AT1G01260,66,105,28,2116,483,640
AT1G01280,0,1,0,1,0,1
AT1G01290,72,40,26,327,0,26
AT1G01300,709,1156,457,810,161,380
AT1G01305,0,0,0,0,0,0
AT1G01310,0,5,0,0,0,0
AT1G01320,3646,6589,2114,4152,1321,1210
AT1G01335,0,0,0,0,0,0
AT1G01340,5,24,10,668,81,158
AT1G01350,130,223,69,337,229,95
AT1G01355,0,0,1,0,0,0
AT1G01360,45,71,13,0,2,4
AT1G01370,7,40,14,23,6,0
AT1G01380,0,0,0,0,0,0
AT1G01390,268,69,59,3,64,21
AT1G01400,0,0,0,0,0,1
AT1G01410,0,0,0,0,0,0
AT1G01420,1,14,26,110,1,0
AT1G01430,105,225,3,203,16,93
AT1G01440,122,206,94,806,90,208
AT1G01450,40,43,44,28,27,16
AT1G01453,0,0,0,0,0,0
AT1G01460,0,0,0,0,0,0
AT1G01470,904,825,258,3717,553,908
AT1G01480,2,15,10,7863,1552,1962
AT1G01490,563,509,334,2809,601,872
AT1G01500,132,229,77,367,11,34
AT1G01510,453,519,157,406,101,327
AT1G01520,4,7,7,0,6,0
AT1G01530,0,0,0,0,0,0
AT1G01540,435,534,245,663,218,254
AT1G01550,627,701,212,5898,1501,1137
AT1G01560,0,3,8,2031,560,521
AT1G01570,10,32,41,0,0,2
AT1G01580,4,20,15,0,0,12
AT1G01590,0,0,0,1,0,0
AT1G01600,0,2,0,0,0,2
AT1G01610,1,48,18,203,1,91
AT1G01620,2177,3019,1106,4088,1015,798
AT1G01630,66,52,1,160,97,58
AT1G01640,10,48,10,94,89,15
AT1G01650,466,398,375,997,201,147
AT1G01660,0,0,0,0,0,1
AT1G01670,0,7,0,0,1,0
AT1G01680,0,1,0,187,61,22
AT1G01690,10,43,124,245,0,26
AT1G01695,0,3,23,0,0,0
AT1G01700,125,79,42,40,46,8
AT1G01710,209,195,118,286,101,112
AT1G01715,14,12,3,0,4,25
AT1G01720,143,265,69,92,48,150
AT1G01725,90,104,32,141,0,35
AT1G01730,39,96,15,416,98,41
AT1G01740,13,42,26,244,108,64
AT1G01750,37,16,6,6,0,19
AT1G01760,36,34,11,75,0,0
AT1G01770,397,364,124,178,44,65
AT1G01780,41,105,29,205,0,5
AT1G01790,630,1135,392,1203,195,729
AT1G01800,322,387,136,335,131,271
AT1G01810,20,18,0,0,0,0
AT1G01820,144,307,167,979,139,247
AT1G01830,74,99,52,1,1,166
AT1G01840,27,54,15,45,0,1
AT1G01860,42,53,28,2,71,48
AT1G01880,31,91,6,0,49,28
AT1G01900,468,335,202,995,108,235
AT1G01910,209,327,221,884,133,179
AT1G01920,83,227,46,108,42,68
AT1G01930,99,249,72,864,155,129
AT1G01940,43,31,30,336,57,40
AT1G01950,260,268,118,152,180,63
AT1G01960,1046,1280,549,1454,394,580
AT1G01970,130,184,84,68,19,67
AT1G01980,1,0,0,0,0,0
AT1G01990,60,204,69,149,93,178
AT1G02000,75,59,36,189,36,12
AT1G02010,55,84,51,316,24,54
AT1G02020,223,95,60,29,3,40
AT1G02030,0,0,0,2,0,10
AT1G02040,0,0,0,0,0,0
AT1G02050,18,37,35,0,2,20
AT1G02060,32,21,47,43,24,16
AT1G02065,2,0,0,3,0,2
AT1G02067,0,0,0,0,0,0
AT1G02070,0,1,1,0,0,0
AT1G02080,2034,2348,1009,4663,1317,1493
AT1G02090,153,223,82,665,265,311
AT1G02100,186,211,85,483,91,144
AT1G02110,124,204,59,233,23,57
AT1G02120,386,394,196,898,738,677
AT1G02130,160,322,192,179,25,87
AT1G02140,498,800,255,1735,446,705
AT1G02145,135,186,210,439,19,68
AT1G02150,279,477,137,634,33,142
AT1G02160,123,208,88,188,74,63
AT1G02170,113,216,114,831,469,455
AT1G02180,3,47,7,0,17,2
AT1G02190,0,1,0,1,0,0
AT1G02205,0,0,0,0,0,0
AT1G02210,0,0,0,0,0,0
AT1G02220,1,4,5,227,67,112
AT1G02230,0,24,0,0,29,0
AT1G02250,0,0,0,0,0,1
AT1G02260,37,52,3,1,18,200
AT1G02270,65,196,70,395,25,139
AT1G02280,241,378,95,97,89,10
AT1G02290,98,88,87,35,16,22
AT1G02300,107,184,73,455,0,72
AT1G02305,434,556,200,503,137,219
AT1G02310,0,17,26,1,0,0
AT1G02320,0,1,0,0,0,0
AT1G02330,192,234,97,1006,165,163
AT1G02335,236,392,108,1359,37,163
AT1G02340,1,1,1,0,0,19
AT1G02350,0,5,0,0,0,0
AT1G02360,2,5,0,71,3,92
AT1G02370,33,107,0,42,31,70
AT1G02380,23,36,3,1,1,0
AT1G02390,0,0,0,0,0,0
AT1G02400,25,0,1,1467,376,291
AT1G02405,0,0,0,45,61,4
AT1G02410,116,214,50,114,119,158
AT1G02420,75,76,38,12,1,46
AT1G02430,27,27,0,53,1,13
AT1G02440,0,2,0,20,9,0
AT1G02450,1,0,3,205,33,54
AT1G02460,2,19,13,272,283,160
AT1G02470,0,6,9,201,63,0
AT1G02475,381,587,262,773,81,242
AT1G02490,0,0,0,0,0,0
AT1G02500,2008,2135,1184,4735,1536,1585
AT1G02510,0,0,0,1,0,0
AT1G02520,1,2,15,472,117,118
AT1G02530,0,0,0,0,0,0
AT1G02540,0,0,0,1,0,0
AT1G02550,0,0,0,0,0,0
AT1G02560,1010,1791,658,1637,482,291
AT1G02570,0,0,2,0,0,0
AT1G02575,0,0,0,0,0,0
AT1G02580,0,0,0,2,0,0
AT1G02590,0,0,0,0,0,1
AT1G02610,151,237,35,6,0,32
AT1G02620,18,25,10,0,1,0
AT1G02630,1,3,0,0,0,0
AT1G02640,471,694,289,465,92,49
AT1G02650,2,1,32,0,0,0
AT1G02660,88,227,44,449,87,143
AT1G02670,30,1,1,4,0,15
AT1G02680,79,114,62,181,187,124
AT1G02690,133,138,53,403,65,79
AT1G02700,19,27,4,0,0,0
AT1G02705,176,95,138,25,5,43
AT1G02710,90,70,83,1,3,32
AT1G02720,117,136,125,235,97,3
AT1G02730,874,869,281,910,198,91
AT1G02740,75,61,38,273,43,7
AT1G02750,58,152,20,841,140,147
AT1G02770,0,2,0,0,0,0
AT1G02780,2523,3306,1349,4577,1281,1528
AT1G02790,1,0,0,2,0,0
AT1G02800,0,0,0,1,0,1
AT1G02810,0,31,22,0,0,0
AT1G02813,0,0,0,0,0,11
AT1G02816,58,96,13,90,5,116
AT1G02820,0,1,0,0,0,0
AT1G02830,0,0,0,0,0,0
AT1G02840,603,624,259,1596,464,619
AT1G02850,145,198,64,157,27,271
AT1G02860,141,126,52,447,167,137
AT1G02870,94,86,31,197,91,73
AT1G02880,2,52,31,93,0,16
AT1G02890,670,1023,407,2195,517,702
AT1G02900,0,20,0,51,25,24
AT1G02910,191,412,75,370,56,51
AT1G02920,6,6,10,4423,829,1154
AT1G02930,18,65,24,10205,2664,3609
AT1G02940,0,1,0,0,0,0
AT1G02950,265,266,91,563,71,43
AT1G02960,60,154,24,165,17,36
AT1G02965,0,0,0,0,0,0
AT1G02970,0,50,11,4,0,1
AT1G02980,0,7,0,28,23,0
AT1G02990,197,491,128,875,138,346
AT1G03000,326,319,109,204,0,89
AT1G03010,2,0,0,1,1,0
AT1G03020,9,26,0,0,0,0
AT1G03030,173,122,70,260,6,46
AT1G03040,560,640,212,1352,414,361
AT1G03050,0,9,0,17,0,0
AT1G03055,0,19,0,0,0,2
AT1G03060,1100,1220,645,2249,953,957
AT1G03070,9,9,13,127,0,1
AT1G03080,1713,1820,1156,8498,1870,2969
AT1G03090,272,484,181,324,140,146
AT1G03100,25,114,1,26,0,9
AT1G03103,0,0,0,0,0,0
AT1G03106,0,0,0,0,0,0
AT1G03110,85,117,30,56,83,36
AT1G03120,40,28,6,0,0,0
AT1G03130,2800,3145,1781,5566,1884,2257
AT1G03140,336,363,206,643,109,201
AT1G03150,98,130,47,229,66,36
AT1G03160,354,651,289,322,105,197
AT1G03165,29,26,30,0,0,0
AT1G03170,1,13,35,0,52,0
AT1G03180,13,12,0,0,10,1
AT1G03190,98,96,9,147,131,145
AT1G03200,0,2,0,1,0,33
AT1G03210,50,72,54,249,72,85
AT1G03220,147,87,29,2078,759,863
AT1G03230,42,120,3,267,254,197
AT1G03240,0,0,0,0,0,0
AT1G03250,143,137,24,255,202,148
AT1G03260,41,51,56,19,12,21
AT1G03270,92,83,22,0,0,14
AT1G03280,463,259,264,540,261,323
AT1G03290,432,329,202,1414,237,228
AT1G03300,40,44,4,86,0,10
AT1G03310,230,324,183,401,142,88
AT1G03320,7,0,0,7,0,1
AT1G03325,6,0,0,7,0,0
