,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01260,444.8832087,3.912329314,0.332032248,11.78297993,4.78E-32,4.30E-30
AT1G01340,108.899303,4.195327352,0.696458882,6.023797613,1.70E-09,3.20E-08
AT1G01480,1401.688878,8.442929958,0.410149527,20.58500473,3.74E-94,2.57E-91
AT1G01550,1283.172945,2.301586528,0.30733543,7.488842177,6.95E-14,1.98E-12
AT1G01560,408.9522254,7.791950295,0.646265813,12.05688145,1.78E-33,1.72E-31
AT1G01680,34.53373773,7.701446427,1.606160203,4.794942877,1.63E-06,2.02E-05
AT1G01740,72.7402389,2.257802238,0.754192106,2.993669941,0.00275644,0.015034273
AT1G02170,349.3273664,2.07814227,0.417477608,4.977853254,6.43E-07,8.50E-06
AT1G02220,59.91070741,5.145376859,0.930236872,5.531254472,3.18E-08,5.05E-07
AT1G02360,26.33477564,4.869658866,1.529336483,3.184164454,0.001451725,0.008764995
AT1G02400,271.7535909,6.102868531,1.622479937,3.761444681,0.000168935,0.001359388
AT1G02405,20.43681015,7.896064939,2.047446733,3.856542303,0.000115002,0.000964936
AT1G02450,35.92249547,5.555823846,1.290747305,4.304346657,1.67E-05,0.000172019
AT1G02460,135.003985,4.599521508,0.806733939,5.701410692,1.19E-08,2.02E-07
AT1G02520,94.37654666,4.580819366,1.004614648,4.559777599,5.12E-06,5.86E-05
AT1G02750,158.1914631,2.136090147,0.587932579,3.633222967,0.000279903,0.002110291
AT1G02920,788.9405921,7.828687311,0.451012938,17.35801051,1.72E-67,5.69E-65
AT1G02930,2230.099432,7.177198665,0.298925286,24.01000852,2.19E-127,3.24E-124
AT1G03220,573.9849083,3.828004678,0.421026698,9.092071118,9.72E-20,4.32E-18
AT1G03230,148.5916516,2.723051933,0.819277031,3.323725469,0.000888236,0.005748744
AT1G03370,501.4655319,2.09361256,0.383508151,5.459108383,4.79E-08,7.39E-07
AT1G03495,72.01385933,2.747747484,0.683144764,4.022203825,5.77E-05,0.00052004
AT1G03660,62.11274844,3.360826929,1.141935426,2.943097178,0.003249464,0.017316081
AT1G03730,504.0077446,3.743131472,0.317556888,11.78727848,4.54E-32,4.12E-30
AT1G03740,1587.947601,3.885132982,0.273176963,14.2220374,6.69E-46,1.12E-43
AT1G03770,96.78634582,2.572212659,0.621606118,4.138010524,3.50E-05,0.00033349
AT1G03850,117.3582596,3.501817277,0.798552962,4.385203542,1.16E-05,0.000123155
AT1G03905,61.04562559,3.082966284,0.891967769,3.456365119,0.000547513,0.003770495
AT1G04070,104.2940185,2.507191772,0.709597915,3.533256959,0.000410473,0.002952463
AT1G04090,42.54242039,6.885268665,1.433368207,4.803558942,1.56E-06,1.94E-05
