Geneid	Chr	Start	End	Strand	Length	control_1	control_2	control_3	uvc_1	uvc_2	uvc_3
gene:AT1G01010	1	3631	5899	+	2269	28	18	64	71	42	48
gene:AT1G01020	1	6788	9130	-	2343	117	195	46	12	54	48
gene:AT1G01030	1	11649	13714	-	2066	29	58	8	0	34	9
gene:AT1G01040	1	23121	31227	+	8107	995	848	430	1458	182	322
gene:AT1G01050	1	31170	33171	-	2002	291	490	133	156	34	132
gene:AT1G01060	1	33365	37871	-	4507	19	30	0	0	1	2
gene:AT1G01070	1	38444	41017	-	2574	0	5	0	0	0	0
gene:AT1G01080	1	44970	47059	-	2090	304	508	199	526	110	122
gene:AT1G01090	1	47234	49304	-	2071	1122	1428	601	1722	531	771
gene:AT1G01100	1	49909	51210	-	1302	1848	2301	927	3554	405	846
gene:AT1G01110	1	51953	54737	+	2785	11	85	49	2	28	9
gene:AT1G01120	1	57164	59215	-	2052	26	26	53	84	7	3
gene:AT1G01130	1	61905	63811	-	1907	0	18	3	1	0	3
gene:AT1G01140	1	64166	67774	-	3609	970	881	421	374	68	272
gene:AT1G01150	1	69911	72138	-	2228	0	0	0	0	0	5
gene:AT1G01160	1	72339	74096	+	1758	309	341	145	206	70	154
gene:AT1G01170	1	73931	74737	-	807	373	565	229	480	230	137
gene:AT1G01180	1	75390	76845	+	1456	41	20	0	0	5	14
gene:AT1G01190	1	82984	84946	-	1963	34	17	0	117	34	27
gene:AT1G01200	1	86486	88409	-	1924	2	12	51	0	0	0
gene:AT1G01210	1	88622	90502	+	1881	73	72	36	282	146	64
gene:AT1G01220	1	91342	95681	+	4340	136	410	181	815	126	50
gene:AT1G01225	1	95935	97407	+	1473	47	54	3	0	0	0
gene:AT1G01230	1	97412	99240	+	1829	114	177	20	67	145	177
gene:AT1G01240	1	99865	101987	+	2123	148	161	111	32	117	106
gene:AT1G01250	1	104440	105330	-	891	0	16	0	0	0	0
gene:AT1G01260	1	108946	111699	+	2754	66	105	28	2116	483	640
gene:AT1G01280	1	112263	113947	+	1685	0	1	0	1	0	1
gene:AT1G01290	1	114202	116407	+	2206	72	40	26	327	0	26
gene:AT1G01300	1	116784	118845	+	2062	709	1156	457	810	161	380
gene:AT1G01305	1	119381	119997	+	617	0	0	0	0	0	0
gene:AT1G01310	1	120154	121130	+	977	0	5	0	0	0	0
gene:AT1G01320	1	121067	130577	-	9511	3646	6589	2114	4152	1321	1210
gene:AT1G01335	1	130736	130858	+	123	0	0	0	0	0	0
gene:AT1G01340	1	132270	135924	-	3655	5	24	10	668	81	158
gene:AT1G01350	1	136090	138162	+	2073	130	223	69	337	229	95
gene:AT1G01355	1	138489	139680	+	1192	0	0	1	0	0	0
gene:AT1G01360	1	141870	143261	+	1392	45	71	13	0	2	4
gene:AT1G01370	1	143489	146479	+	2991	7	40	14	23	6	0
gene:AT1G01380	1	147043	148014	+	972	0	0	0	0	0	0
gene:AT1G01390	1	148013	149848	-	1836	268	69	59	3	64	21
gene:AT1G01400	1	150689	152210	-	1522	0	0	0	0	0	1
gene:AT1G01410	1	153113	154198	+	1086	0	0	0	0	0	0
gene:AT1G01420	1	154367	156178	-	1812	1	14	26	110	1	0
gene:AT1G01430	1	156477	158823	-	2347	105	225	3	203	16	93
gene:AT1G01440	1	159628	162953	-	3326	122	206	94	806	90	208
gene:AT1G01450	1	164105	165517	-	1413	40	43	44	28	27	16
gene:AT1G01453	1	166589	168088	-	1500	0	0	0	0	0	0
gene:AT1G01460	1	168559	171386	+	2828	0	0	0	0	0	0
gene:AT1G01470	1	171525	172948	-	1424	904	825	258	3717	553	908
gene:AT1G01480	1	175706	178406	+	2701	2	15	10	7863	1552	1962
gene:AT1G01490	1	180017	182749	-	2733	563	509	334	2809	601	872
gene:AT1G01500	1	185033	187135	+	2103	132	229	77	367	11	34
gene:AT1G01510	1	187145	190472	+	3328	453	519	157	406	101	327
gene:AT1G01520	1	190408	192436	+	2029	4	7	7	0	6	0
gene:AT1G01530	1	192634	193670	-	1037	0	0	0	0	0	0
gene:AT1G01540	1	195645	198787	+	3143	435	534	245	663	218	254
gene:AT1G01550	1	199527	201775	+	2249	627	701	212	5898	1501	1137
gene:AT1G01560	1	202103	204440	+	2338	0	3	8	2031	560	521
gene:AT1G01570	1	204935	207642	+	2708	10	32	41	0	0	2
gene:AT1G01580	1	208995	213082	+	4088	4	20	15	0	0	12
gene:AT1G01590	1	214150	217734	+	3585	0	0	0	1	0	0
gene:AT1G01600	1	218834	221286	+	2453	0	2	0	0	0	2
gene:AT1G01610	1	221642	224351	-	2710	1	48	18	203	1	91
gene:AT1G01620	1	225665	227543	-	1879	2177	3019	1106	4088	1015	798
gene:AT1G01630	1	228799	230979	+	2181	66	52	1	160	97	58
gene:AT1G01640	1	230908	232630	-	1723	10	48	10	94	89	15
gene:AT1G01650	1	232840	237905	-	5066	466	398	375	997	201	147
gene:AT1G01660	1	239841	242703	-	2863	0	0	0	0	0	1
gene:AT1G01670	1	242713	246054	-	3342	0	7	0	0	1	0
gene:AT1G01680	1	246262	248440	-	2179	0	1	0	187	61	22
gene:AT1G01690	1	249041	252522	+	3482	10	43	124	245	0	26
gene:AT1G01695	1	252626	254530	+	1905	0	3	23	0	0	0
gene:AT1G01700	1	259307	261667	-	2361	125	79	42	40	46	8
gene:AT1G01710	1	262828	266324	+	3497	209	195	118	286	101	112
gene:AT1G01715	1	266333	267883	+	1551	14	12	3	0	4	25
gene:AT1G01720	1	267993	269819	+	1827	143	265	69	92	48	150
gene:AT1G01725	1	269792	270859	-	1068	90	104	32	141	0	35
gene:AT1G01730	1	270797	272189	+	1393	39	96	15	416	98	41
gene:AT1G01740	1	272111	274930	-	2820	13	42	26	244	108	64
gene:AT1G01750	1	275188	276310	+	1123	37	16	6	6	0	19
gene:AT1G01760	1	276266	278599	-	2334	36	34	11	75	0	0
gene:AT1G01770	1	278600	282891	+	4292	397	364	124	178	44	65
gene:AT1G01780	1	282761	284245	+	1485	41	105	29	205	0	5
gene:AT1G01790	1	284350	291203	+	6854	630	1135	392	1203	195	729
gene:AT1G01800	1	293246	295086	+	1841	322	387	136	335	131	271
gene:AT1G01810	1	295207	295859	+	653	20	18	0	0	0	0
gene:AT1G01820	1	296001	298334	-	2334	144	307	167	979	139	247
gene:AT1G01830	1	298451	302310	-	3860	74	99	52	1	1	166
gene:AT1G01840	1	303537	304358	+	822	27	54	15	45	0	1
gene:AT1G01860	1	304133	306310	-	2178	42	53	28	2	71	48
gene:AT1G01880	1	306467	309541	-	3075	31	91	6	0	49	28
gene:AT1G01900	1	310169	313130	+	2962	468	335	202	995	108	235
gene:AT1G01910	1	313101	316090	-	2990	209	327	221	884	133	179
gene:AT1G01920	1	315983	319667	+	3685	83	227	46	108	42	68
gene:AT1G01930	1	319769	322895	-	3127	99	249	72	864	155	129
gene:AT1G01940	1	322886	324917	+	2032	43	31	30	336	57	40
gene:AT1G01950	1	325316	330619	+	5304	260	268	118	152	180	63
gene:AT1G01960	1	330588	337912	-	7325	1046	1280	549	1454	394	580
gene:AT1G01970	1	338241	340088	+	1848	130	184	84	68	19	67
gene:AT1G01980	1	340108	342040	-	1933	1	0	0	0	0	0
gene:AT1G01990	1	342918	344400	-	1483	60	204	69	149	93	178
gene:AT1G02000	1	345516	347603	+	2088	75	59	36	189	36	12
gene:AT1G02010	1	347613	352545	+	4933	55	84	51	316	24	54
gene:AT1G02020	1	352612	355124	-	2513	223	95	60	29	3	40
gene:AT1G02030	1	355124	357258	-	2135	0	0	0	2	0	10
gene:AT1G02040	1	357906	359078	-	1173	0	0	0	0	0	0
gene:AT1G02050	1	359117	360746	-	1630	18	37	35	0	2	20
gene:AT1G02060	1	360918	363142	-	2225	32	21	47	43	24	16
gene:AT1G02065	1	365165	367443	+	2279	2	0	0	3	0	2
gene:AT1G02067	1	366945	367166	-	222	0	0	0	0	0	0
gene:AT1G02070	1	370195	371090	-	896	0	1	1	0	0	0
gene:AT1G02080	1	373335	386913	+	13579	2034	2348	1009	4663	1317	1493
gene:AT1G02090	1	387277	389808	-	2532	153	223	82	665	265	311
gene:AT1G02100	1	389812	392816	+	3005	186	211	85	483	91	144
gene:AT1G02110	1	392831	395528	+	2698	124	204	59	233	23	57
gene:AT1G02120	1	395689	400001	+	4313	386	394	196	898	738	677
gene:AT1G02130	1	399983	401919	-	1937	160	322	192	179	25	87
gene:AT1G02140	1	403100	404456	-	1357	498	800	255	1735	446	705
gene:AT1G02145	1	404600	408619	+	4020	135	186	210	439	19	68
gene:AT1G02150	1	408622	410680	+	2059	279	477	137	634	33	142
gene:AT1G02160	1	410744	411632	+	889	123	208	88	188	74	63
gene:AT1G02170	1	411664	413554	+	1891	113	216	114	831	469	455
gene:AT1G02180	1	413522	414649	-	1128	3	47	7	0	17	2
gene:AT1G02190	1	415074	418027	+	2954	0	1	0	1	0	0
gene:AT1G02205	1	418416	422579	+	4164	0	0	0	0	0	0
gene:AT1G02210	1	427548	427811	-	264	0	0	0	0	0	0
gene:AT1G02220	1	428650	430720	-	2071	1	4	5	227	67	112
gene:AT1G02230	1	434965	436922	-	1958	0	24	0	0	29	0
gene:AT1G02250	1	437860	439559	-	1700	0	0	0	0	0	1
gene:AT1G02260	1	440200	442972	-	2773	37	52	3	1	18	200
gene:AT1G02270	1	443118	446296	-	3179	65	196	70	395	25	139
gene:AT1G02280	1	448423	450426	-	2004	241	378	95	97	89	10
gene:AT1G02290	1	450461	452743	-	2283	98	88	87	35	16	22
gene:AT1G02300	1	453107	455519	+	2413	107	184	73	455	0	72
gene:AT1G02305	1	455688	458164	+	2477	434	556	200	503	137	219
gene:AT1G02310	1	458133	460831	-	2699	0	17	26	1	0	0
gene:AT1G02320	1	461828	461974	+	147	0	1	0	0	0	0
gene:AT1G02330	1	461946	463618	-	1673	192	234	97	1006	165	163
gene:AT1G02335	1	463754	464981	-	1228	236	392	108	1359	37	163
gene:AT1G02340	1	465616	467880	-	2265	1	1	1	0	0	19
gene:AT1G02350	1	469818	470693	+	876	0	5	0	0	0	0
gene:AT1G02360	1	471883	473336	-	1454	2	5	0	71	3	92
gene:AT1G02370	1	474373	476612	+	2240	33	107	0	42	31	70
gene:AT1G02380	1	476945	479112	+	2168	23	36	3	1	1	0
gene:AT1G02390	1	480650	483373	+	2724	0	0	0	0	0	0
gene:AT1G02400	1	486800	489651	+	2852	25	0	1	1467	376	291
gene:AT1G02405	1	489874	490627	-	754	0	0	0	45	61	4
gene:AT1G02410	1	490860	492979	+	2120	116	214	50	114	119	158
gene:AT1G02420	1	493639	495158	+	1520	75	76	38	12	1	46
gene:AT1G02430	1	495050	496332	-	1283	27	27	0	53	1	13
gene:AT1G02440	1	496372	497555	-	1184	0	2	0	20	9	0
gene:AT1G02450	1	497917	498539	-	623	1	0	3	205	33	54
gene:AT1G02460	1	504463	507268	-	2806	2	19	13	272	283	160
gene:AT1G02470	1	511765	513721	-	1957	0	6	9	201	63	0
gene:AT1G02475	1	513699	515422	-	1724	381	587	262	773	81	242
gene:AT1G02490	1	516569	516866	+	298	0	0	0	0	0	0
gene:AT1G02500	1	518091	520495	+	2405	2008	2135	1184	4735	1536	1585
gene:AT1G02510	1	520498	521668	-	1171	0	0	0	1	0	0
gene:AT1G02520	1	523536	529069	+	5534	1	2	15	472	117	118
gene:AT1G02530	1	529679	534677	+	4999	0	0	0	0	0	0
gene:AT1G02540	1	534827	535699	-	873	0	0	0	1	0	0
gene:AT1G02550	1	536483	537211	+	729	0	0	0	0	0	0
gene:AT1G02560	1	537740	540127	+	2388	1010	1791	658	1637	482	291
gene:AT1G02570	1	541236	542245	+	1010	0	0	2	0	0	0
gene:AT1G02575	1	543011	544057	+	1047	0	0	0	0	0	0
gene:AT1G02580	1	544733	549202	+	4470	0	0	0	2	0	0
gene:AT1G02590	1	552138	552761	-	624	0	0	0	0	0	1
gene:AT1G02610	1	553019	556152	-	3134	151	237	35	6	0	32
gene:AT1G02620	1	557092	558774	+	1683	18	25	10	0	1	0
gene:AT1G02630	1	560610	562598	-	1989	1	3	0	0	0	0
gene:AT1G02640	1	564018	567771	+	3754	471	694	289	465	92	49
gene:AT1G02650	1	568558	570554	+	1997	2	1	32	0	0	0
gene:AT1G02660	1	571826	575085	-	3260	88	227	44	449	87	143
gene:AT1G02670	1	575922	580532	+	4611	30	1	1	4	0	15
gene:AT1G02680	1	580625	582310	+	1686	79	114	62	181	187	124
gene:AT1G02690	1	584134	587327	+	3194	133	138	53	403	65	79
gene:AT1G02700	1	588003	589480	+	1478	19	27	4	0	0	0
